     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  2910,       2123995,         2121095,           2304,     29865,       14679,        198,           ,             ,            ,    58191,      31014,       239
  2911,       2124284,         2121383,           2325,     29897,       14683,        229,           ,             ,            ,    58192,      31046,       249
  2912,       2124800,         2121898,           2390,     29903,       14693,        212,           ,             ,            ,    58226,      31018,       243
  2913,       2126304,         2123401,           2308,     29938,       14660,        211,           ,             ,            ,    58244,      31048,       241
  2914,       2127511,         2124607,           2306,     29932,       14683,        201,           ,             ,            ,    58259,      31036,       239
  2915,       2128799,         2125894,           2400,     29925,       14662,        227,           ,             ,            ,    58300,      31072,       248
  2916,       2130966,         2128060,           2327,     29956,       14693,        232,           ,             ,            ,    58328,      31083,       248
  2917,       2133164,         2130257,           2319,     29906,       14692,        218,           ,             ,            ,    58416,      31139,       246
  2918,       2135228,         2132320,           2382,     29926,       14682,        240,           ,             ,            ,    58316,      31064,       248
  2919,       2137320,         2134411,           2317,     29936,       14694,        217,           ,             ,            ,    58340,      31097,       245
  2920,       2137629,         2134719,           2317,     29966,       14688,        203,           ,             ,            ,    58402,      31121,       241
  2921,       2138710,         2135799,           2319,     30003,       14685,        205,           ,             ,            ,    58474,      31164,       238
  2922,       2141463,         2138551,           2345,     30017,       14716,        213,           ,             ,            ,    58444,      31156,       244
  2923,       2143766,         2140853,           2338,     30027,       14776,        261,           ,             ,            ,    58474,      31157,       245
  2924,       2145735,         2142821,           2432,     30028,       14776,        206,           ,             ,            ,    58446,      31116,       240
  2925,       2147832,         2144917,           2356,     30049,       14701,        219,           ,             ,            ,    58549,      31225,       250
  2926,       2149374,         2146458,           2424,     30066,       14682,        221,           ,             ,            ,    58515,      31205,       267
  2927,       2150512,         2147595,           2480,     30063,       14682,        218,           ,             ,            ,    58604,      31250,       245
  2928,       2152787,         2149869,           2334,     30065,       14688,        203,           ,             ,            ,    58600,      31237,       242
  2929,       2154950,         2152031,           2441,     30104,       14735,        236,           ,             ,            ,    58629,      31248,       240
  2930,       2156725,         2153805,           2338,     30147,       14751,        209,           ,             ,            ,    58678,      31259,       239
  2931,       2158925,         2156004,           2342,     30106,       14789,        204,           ,             ,            ,    58696,      31300,       240
  2932,       2160788,         2157866,           2463,     30112,       14812,        215,           ,             ,            ,    58660,      31236,       246
  2933,       2162484,         2159561,           2349,     30108,       14744,        225,           ,             ,            ,    58696,      31250,       246
  2934,       2163285,         2160361,           2347,     30151,       14745,        206,           ,             ,            ,    58742,      31334,       271
  2935,       2164087,         2161162,           2395,     30145,       14777,        225,           ,             ,            ,    58723,      31277,       240
  2936,       2164910,         2161984,           2368,     30169,       14799,        237,           ,             ,            ,    58734,      31257,       250
  2937,       2165290,         2162363,           2384,     30208,       14813,        241,           ,             ,            ,    58760,      31262,       264
  2938,       2166939,         2164011,           2404,     30200,       14816,        206,           ,             ,            ,    58857,      31346,       241
  2939,       2169510,         2166581,           2380,     30184,       14806,        212,           ,             ,            ,    58848,      31345,       251
  2940,       2171881,         2168951,           2426,     30186,       14773,        203,           ,             ,            ,    58847,      31357,       242
  2941,       2174445,         2171514,           2411,     30213,       14772,        229,           ,             ,            ,    58852,      31356,       251
  2942,       2175977,         2173045,           2378,     30254,       14781,        214,           ,             ,            ,    58961,      31423,       245
  2943,       2177826,         2174893,           2454,     30272,       14821,        227,           ,             ,            ,    58903,      31369,       241
  2944,       2178887,         2175953,           2399,     30283,       14830,        210,           ,             ,            ,    58961,      31393,       246
  2945,       2180551,         2177616,           2365,     30243,       14822,        210,           ,             ,            ,    58939,      31398,       241
  2946,       2182262,         2179326,           2487,     30257,       14847,        224,           ,             ,            ,    58968,      31411,       281
  2947,       2184821,         2181884,           2389,     30254,       14857,        211,           ,             ,            ,    59011,      31451,       241
  2948,       2185864,         2182926,           2397,     30300,       14882,        226,           ,             ,            ,    59006,      31447,       268
  2949,       2187408,         2184469,           2390,     30321,       14870,        210,           ,             ,            ,    59038,      31469,       245
  2950,       2189095,         2186155,           2418,     30291,       14884,        239,           ,             ,            ,    59080,      31440,       262
